# Array shape: (5, 5, 6, 10)
#
#
# ========================== Block 1/10 ==========================
#
-0.153046 0.025336 0.109214 -0.110910 0.036324
-0.084379 0.037400 -0.143723 0.040259 0.046493
-0.041677 -0.067209 -0.037111 0.110539 0.094960
# 2-D slice -> max_value: 0.194195, min_value:-0.153046 
#
# -------- Slice 4/6 --------
0.034493 -0.004065 0.014917 0.197618 0.032428
-0.177712 -0.012284 0.089444 -0.012174 -0.070475
0.024832 0.035507 0.043953 -0.063117 -0.073517
0.003307 -0.084576 -0.018413 0.029701 0.119223
-0.031443 -0.082195 -0.136818 0.063304 0.188532
# 2-D slice -> max_value: 0.197618, min_value:-0.177712 
#
# -------- Slice 5/6 --------
-0.087390 0.008628 0.039021 -0.046409 -0.105104
-0.072307 0.049301 -0.030016 -0.030241 0.053644
-0.193582 -0.082223 -0.023433 -0.088136 -0.124890
-0.025602 -0.016670 0.028959 0.059681 -0.045774
0.083198 0.006107 -0.089745 0.015024 -0.041380
# 2-D slice -> max_value: 0.083198, min_value:-0.193582 
#
# -------- Slice 6/6 --------
-0.005353 0.021871 0.028681 -0.052063 -0.037734
0.013148 -0.099187 0.087613 -0.116944 0.095851
-0.162560 0.157721 0.053081 0.095556 -0.040669
-0.083920 -0.010162 0.006037 -0.006377 0.034271
-0.070330 -0.129305 -0.196584 0.184669 0.113927
# 2-D slice -> max_value: 0.184669, min_value:-0.196584 
#
# ========================== Block 9/10 ==========================
#
# -------- Slice 1/6 --------
-0.036797 -0.020593 -0.187161 0.013483 0.046505
0.173092 -0.035398 0.096171 -0.025385 0.131302
0.065472 -0.013237 -0.057281 -0.024206 -0.140136
-0.143813 0.116611 -0.075135 -0.014535 0.068014
-0.003104 -0.113232 0.162320 0.002303 0.053897
# 2-D slice -> max_value: 0.173092, min_value:-0.187161 
#
# -------- Slice 2/6 --------
-0.058725 0.111552 0.111704 0.151997 0.110647
0.070925 0.169557 0.026944 0.195866 0.119083
-0.007334 -0.095449 0.093645 -0.146491 0.058785
0.087867 0.006887 0.137808 0.077669 -0.009437
-0.018183 -0.055872 -0.043602 0.021182 -0.038190
# 2-D slice -> max_value: 0.195866, min_value:-0.146491 
#
# -------- Slice 3/6 --------
-0.048419 -0.046684 0.054502 0.014599 0.069661
0.042359 -0.025126 0.088517 -0.018479 0.068074
-0.043441 -0.133582 0.114664 0.064433 -0.204482
-0.023639 0.035989 0.000402 -0.098348 -0.010171
-0.066431 -0.028320 0.126838 0.027152 -0.019409
# 2-D slice -> max_value: 0.126838, min_value:-0.204482 
#
# -------- Slice 4/6 --------
-0.009324 -0.081233 0.062964 0.043457 -0.082703
0.133283 0.056135 0.047800 -0.115185 0.009653
0.036489 -0.015668 0.087869 0.046737 -0.054248
-0.014666 -0.084426 -0.027261 0.000810 0.013567
0.004296 -0.040717 -0.004934 0.124379 -0.025085
# 2-D slice -> max_value: 0.133283, min_value:-0.115185 
#
# -------- Slice 5/6 --------
-0.030805 -0.011011 -0.096328 0.109192 -0.012506
-0.076033 -0.023115 0.018223 0.009379 -0.098964
0.066981 -0.111997 -0.145325 0.078602 0.031619
0.091640 -0.038620 -0.088186 -0.132496 0.049146
0.170154 0.035988 0.012872 0.136135 -0.123245
# 2-D slice -> max_value: 0.170154, min_value:-0.145325 
#
# -------- Slice 6/6 --------
-0.044427 -0.085323 -0.150403 -0.023484 -0.058014
0.160150 -0.153803 -0.022776 0.014259 -0.088478
0.038512 -0.115065 0.069946 0.174857 0.040381
0.062094 -0.034616 0.092343 0.154721 -0.067193
0.079024 0.045237 0.208259 -0.035848 0.084979
# 2-D slice -> max_value: 0.208259, min_value:-0.153803 
#
# ========================== Block 10/10 ==========================
#
# -------- Slice 1/6 --------
0.088454 0.126765 0.051455 -0.077181 0.017745
0.039455 0.099924 -0.074368 0.129928 -0.182461
-0.048194 -0.042012 0.048573 0.124023 0.112923
0.037118 0.173446 -0.045396 -0.050873 -0.015085
-0.164336 0.170627 -0.084845 -0.019072 -0.048795
# 2-D slice -> max_value: 0.173446, min_value:-0.182461 
#
# -------- Slice 2/6 --------
0.002054 -0.052409 -0.092634 -0.042988 -0.123609
-0.070367 -0.123460 0.042595 -0.123694 -0.125731
0.080848 -0.060602 -0.135504 0.018195 0.106887
0.101874 -0.098040 0.108166 0.114538 0.110986
0.054093 0.042227 0.175814 0.134788 0.189887
# 2-D slice -> max_value: 0.189887, min_value:-0.135504 
#
# -------- Slice 3/6 --------
-0.000675 0.129850 -0.083773 0.043392 0.070206
-0.143031 0.186140 0.077659 -0.034386 0.099655
0.081478 0.158345 -0.074582 0.098994 0.035583
0.136319 0.004299 -0.075429 0.078830 0.112160
0.056527 -0.038022 0.043342 0.097131 0.144349
# 2-D slice -> max_value: 0.186140, min_value:-0.143031 
#
# -------- Slice 4/6 --------
0.022213 -0.049594 0.191097 0.091502 0.121181
-0.129827 0.071103 0.047785 -0.105053 0.160645
-0.042073 0.051099 -0.065302 -0.114094 0.033958
0.050890 0.066008 0.086911 0.041566 -0.187947
0.097477 0.056869 0.038818 0.062137 -0.018141
# 2-D slice -> max_value: 0.191097, min_value:-0.187947 
#
# -------- Slice 5/6 --------
